	human	bonobo	chimpanzee	gorilla	s. orangutan	b. orangutan
1	0.2707626050874866	0.30252732381185815	0.29092157625901466	0.2873560095558966	0.28045447697395776	0.2857880639875498
2	0.21845780614319882	0.20110787407733094	0.19614609898453184	0.20331380787069078	0.1816936808896316	0.18305731411347398
3	0.1888855122276145	0.1706179605875745	0.16189272768736956	0.15389104051878105	0.14907702786687427	0.15336823750620665
4	0.15543850470937753	0.20340826313670485	0.1975815890569705	0.26749235267520793	0.17800291570120605	0.18080119291437916
5	0.1860909022829185	0.19128261848892045	0.19488252327559064	0.18139672045358526	0.19815143287291714	0.20059546778327295
6	0.19517026732203224	0.20926101535492433	0.23082316712918236	0.24896455970991732	0.2484535108403779	0.23999150218015253
7	0.2362807978714089	0.20792541482130739	0.2129276398195664	0.20177470402234607	0.23044409020633588	0.23343365728265428
8	0.21363423301860995	0.2461429103288863	0.25118176422989297	0.2443102851360901	0.23908421289868417	0.24838865777997302
9	0.22273013660912286	0.2957339395793153	0.29636174080955047	0.3052543077763143	0.2888329970499748	0.29103181106641873
10	0.258707945599781	0.243288491517216	0.2432071812613747	0.22067270369105604	0.24128050893079958	0.24116258248828146
11	0.29399582553605247	0.2735514926258483	0.27639347578134665	0.19149604353879393	0.19460019946486246	0.20174228214314996
12	0.24147841101250161	0.2153748211330522	0.21796739293106787	0.25364959959221967	0.21795554217514826	0.2153772218723848
13	0.21360137250108716	0.19836784773742894	0.1979002322995176	0.300804639232064	0.27108082146199103	0.26383924638673956
14	0.25239841262918505	0.16644789648661376	0.17747080129660633	0.16936282220407728	0.16773117843041235	0.16249030882345467
15	0.2858855799054857	0.2424005013206397	0.25544139111939407	0.2084929995838569	0.23404878927025777	0.23552475007353454
16	0.33850174816096945	0.2702157542490589	0.2541175097630598	0.2637898050332303	0.2664006046679488	0.25674856860425377
17	0.44790448324171217	0.17910772907090927	0.2088206762173394	0.25643904694769853	0.19222685106574705	0.1902524562188599
18	0.18844700424016933	0.3631586154474975	0.35915128964034504	0.28463427385092427	0.3599204865161974	0.3694703285220445
19	0.6332955658258227	0.4073818572771133	0.4048684052677011	0.18561602032793464	0.4601735851179954	0.45819154158216574
20	0.36085044529733346	0.5766014487319965	0.5864549871123103	0.5208750451733001	0.5950751150452307	0.6043729563901764
21	0.3514251569758914	0.3259873344811452	0.32560782730749116	0.28644099889181157	0.3363167322243327	0.337178541289243
22	0.4664984806797383	0.23410134249179038	0.2369995798661515	0.22188869085907656	0.2370189802258376	0.19666979737548285
23		0.36704268160519266	0.39062230265849474	0.41391426008024096	0.41303328725689	0.38374326561990185
X	0.20385769787528119	0.2122801853065729	0.21870563613222443	0.183618300923987	0.19802403918100836	0.19772069481513496
Y	0.09282736644262525	0.1906945611734586	0.2028134105099819	0.15025424834689172	0.16640785750569026	0.18092086026624607
